Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 1 	 TrialTime 	 4.500257 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 5.318154 	 StimulusOff 	 5.821450 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 12 	 TrialTime 	 12.106194 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 12.222580 	 StimulusOff 	 12.726177 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 13 	 TrialTime 	 12.726575 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 12.853926 	 StimulusOff 	 13.356959 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 14 	 TrialTime 	 13.357286 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 13.475480 	 StimulusOff 	 13.979210 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 15 	 TrialTime 	 13.979625 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 14.116705 	 StimulusOff 	 14.619897 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 16 	 TrialTime 	 14.620192 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 14.739601 	 StimulusOff 	 15.243633 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 17 	 TrialTime 	 15.244233 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 15.358769 	 StimulusOff 	 15.861969 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 18 	 TrialTime 	 15.862354 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 15.980678 	 StimulusOff 	 16.484479 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 19 	 TrialTime 	 16.484961 	 ImageNumber 	 14 	 Dot 	 Yes 	 StimulusOn 	 16.612691 	 StimulusOff 	 17.115765 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 20 	 TrialTime 	 17.116174 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 17.234822 	 StimulusOff 	 17.737953 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 21 	 TrialTime 	 17.738259 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 17.837665 	 StimulusOff 	 18.340983 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 22 	 TrialTime 	 18.341302 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 18.433927 	 StimulusOff 	 18.937265 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 23 	 TrialTime 	 18.937726 	 ImageNumber 	 5 	 Dot 	 Yes 	 StimulusOn 	 19.046582 	 StimulusOff 	 19.550608 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 24 	 TrialTime 	 19.551254 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 19.682904 	 StimulusOff 	 20.186091 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 25 	 TrialTime 	 20.186470 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 20.308844 	 StimulusOff 	 20.812941 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 26 	 TrialTime 	 20.813517 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 20.947375 	 StimulusOff 	 21.450669 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 27 	 TrialTime 	 21.451039 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 21.579090 	 StimulusOff 	 22.083362 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 28 	 TrialTime 	 22.083862 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 22.187955 	 StimulusOff 	 22.691185 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 29 	 TrialTime 	 22.691495 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 22.811746 	 StimulusOff 	 23.314933 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 30 	 TrialTime 	 23.315235 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 23.406490 	 StimulusOff 	 23.909798 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 1 	 TrialTime 	 26.917234 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 27.034552 	 StimulusOff 	 27.537912 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 2 	 TrialTime 	 27.538225 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 27.665123 	 StimulusOff 	 28.168451 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 3 	 TrialTime 	 28.168771 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 28.265932 	 StimulusOff 	 28.770517 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 4 	 TrialTime 	 28.770996 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 28.904887 	 StimulusOff 	 29.407986 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 5 	 TrialTime 	 29.408459 	 ImageNumber 	 16 	 Dot 	 Yes 	 StimulusOn 	 29.503939 	 StimulusOff 	 30.007134 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 6 	 TrialTime 	 30.007552 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 30.132177 	 StimulusOff 	 30.636793 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 7 	 TrialTime 	 30.637319 	 ImageNumber 	 6 	 Dot 	 Yes 	 StimulusOn 	 30.776736 	 StimulusOff 	 31.279945 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 8 	 TrialTime 	 31.280330 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 31.409439 	 StimulusOff 	 31.913332 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 9 	 TrialTime 	 31.913837 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 32.047794 	 StimulusOff 	 32.551469 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 10 	 TrialTime 	 32.551873 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 32.682103 	 StimulusOff 	 33.186359 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 11 	 TrialTime 	 33.186764 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 33.323246 	 StimulusOff 	 33.826380 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 12 	 TrialTime 	 33.826731 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 33.948987 	 StimulusOff 	 34.452461 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 13 	 TrialTime 	 34.452852 	 ImageNumber 	 11 	 Dot 	 Yes 	 StimulusOn 	 34.559900 	 StimulusOff 	 35.063971 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 14 	 TrialTime 	 35.064615 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 35.192329 	 StimulusOff 	 35.696399 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 15 	 TrialTime 	 35.696931 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 35.833816 	 StimulusOff 	 36.337118 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 16 	 TrialTime 	 36.337578 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 36.470965 	 StimulusOff 	 36.974267 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 17 	 TrialTime 	 36.974540 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 37.080423 	 StimulusOff 	 37.584752 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 18 	 TrialTime 	 37.585335 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 37.685777 	 StimulusOff 	 38.189031 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 19 	 TrialTime 	 38.189430 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 38.315782 	 StimulusOff 	 38.818913 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 20 	 TrialTime 	 38.819310 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 38.944481 	 StimulusOff 	 39.448258 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 21 	 TrialTime 	 39.448735 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 39.581334 	 StimulusOff 	 40.085266 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 22 	 TrialTime 	 40.085742 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 40.205510 	 StimulusOff 	 40.709616 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 23 	 TrialTime 	 40.710140 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 40.841863 	 StimulusOff 	 41.345249 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 24 	 TrialTime 	 41.345639 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 41.470005 	 StimulusOff 	 41.973146 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 25 	 TrialTime 	 41.973519 	 ImageNumber 	 4 	 Dot 	 Yes 	 StimulusOn 	 42.100141 	 StimulusOff 	 42.603263 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 26 	 TrialTime 	 42.603621 	 ImageNumber 	 11 	 Dot 	 Yes 	 StimulusOn 	 42.682090 	 StimulusOff 	 43.185202 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 27 	 TrialTime 	 43.185614 	 ImageNumber 	 12 	 Dot 	 No 	 StimulusOn 	 43.297537 	 StimulusOff 	 43.801507 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 28 	 TrialTime 	 43.802114 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 43.936888 	 StimulusOff 	 44.440166 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 29 	 TrialTime 	 44.440495 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 44.563577 	 StimulusOff 	 45.067091 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 2.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 23.910191 	 TrialNumber 	 30 	 TrialTime 	 45.067475 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 45.194823 	 StimulusOff 	 45.698680 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 1 	 TrialTime 	 48.708629 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 48.842674 	 StimulusOff 	 49.345908 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 2 	 TrialTime 	 49.346245 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 49.475834 	 StimulusOff 	 49.979596 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 3 	 TrialTime 	 49.980000 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 50.115076 	 StimulusOff 	 50.618817 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 4 	 TrialTime 	 50.619261 	 ImageNumber 	 1 	 Dot 	 Yes 	 StimulusOn 	 50.729109 	 StimulusOff 	 51.232395 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 5 	 TrialTime 	 51.232786 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 51.324137 	 StimulusOff 	 51.827191 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 6 	 TrialTime 	 51.827520 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 51.947108 	 StimulusOff 	 52.450845 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 7 	 TrialTime 	 52.451273 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 52.571957 	 StimulusOff 	 53.075088 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 8 	 TrialTime 	 53.075384 	 ImageNumber 	 14 	 Dot 	 Yes 	 StimulusOn 	 53.182625 	 StimulusOff 	 53.686584 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 9 	 TrialTime 	 53.687051 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 53.819964 	 StimulusOff 	 54.323283 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 10 	 TrialTime 	 54.323742 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 54.439876 	 StimulusOff 	 54.943405 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 11 	 TrialTime 	 54.943778 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 55.053630 	 StimulusOff 	 55.556672 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 12 	 TrialTime 	 55.557049 	 ImageNumber 	 6 	 Dot 	 Yes 	 StimulusOn 	 55.681683 	 StimulusOff 	 56.187224 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 13 	 TrialTime 	 56.187852 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 56.290023 	 StimulusOff 	 56.793894 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 14 	 TrialTime 	 56.794309 	 ImageNumber 	 5 	 Dot 	 Yes 	 StimulusOn 	 56.880547 	 StimulusOff 	 57.384799 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 15 	 TrialTime 	 57.385313 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 57.482179 	 StimulusOff 	 57.985751 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 16 	 TrialTime 	 57.986167 	 ImageNumber 	 12 	 Dot 	 Yes 	 StimulusOn 	 58.061332 	 StimulusOff 	 58.564600 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 17 	 TrialTime 	 58.564920 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 58.638936 	 StimulusOff 	 59.142467 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 18 	 TrialTime 	 59.142937 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 59.223823 	 StimulusOff 	 59.726935 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 19 	 TrialTime 	 59.727346 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 59.841071 	 StimulusOff 	 60.344814 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 20 	 TrialTime 	 60.345235 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 60.485354 	 StimulusOff 	 60.989482 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 21 	 TrialTime 	 60.989943 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 61.120691 	 StimulusOff 	 61.625263 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 22 	 TrialTime 	 61.625803 	 ImageNumber 	 9 	 Dot 	 No 	 StimulusOn 	 61.759175 	 StimulusOff 	 62.262838 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 23 	 TrialTime 	 62.263260 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 62.335996 	 StimulusOff 	 62.839034 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 24 	 TrialTime 	 62.839418 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 62.915613 	 StimulusOff 	 63.419119 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 25 	 TrialTime 	 63.419528 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 63.505144 	 StimulusOff 	 64.008466 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 26 	 TrialTime 	 64.008985 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 64.091413 	 StimulusOff 	 64.594803 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 27 	 TrialTime 	 64.595282 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 64.675592 	 StimulusOff 	 65.178753 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 3.000000 	 BlockCondition 	 Colour 	 BlockTime 	 45.699114 	 TrialNumber 	 28 	 TrialTime 	 65.179146 	 ImageNumber 	 3 	 Dot 	 No 	 StimulusOn 	 65.261939 	 StimulusOff 	 65.765019 	 
